Image_ID,Timestamp,Genotype_ID,Plant_ID,Crop_Type,Region,Soil_Type,Soil_Moisture,Temperature,Humidity,Light_Intensity,Fertilizer_Used,Irrigation_Level,Leaf_Area,Stem_Thickness,Plant_Height,Leaf_Color_Index,Disease_Signs,Weed_Presence,Growth_Stage,Health_Score,Genotype_Performance_Score,Recommended_Action,Yield_Potential
IMG_000001,2021-11-27,G009,P000001,Maize,West,Clay,27.88,31.3,44.0,42588.6,NPK,3.2,96.7,1.69,25.3,3.1,No,No,Fruiting,82.0,48.5,Increase irrigation,4.68
IMG_000002,2021-02-11,G015,P000002,Rice,Central,Clay,18.68,23.3,44.3,29938.9,NPK,10.9,96.2,2.4,116.6,2.0,No,No,Fruiting,77.1,33.9,No action,7.87
IMG_000003,2021-05-03,G008,P000003,Maize,North,Sandy,15.76,24.0,47.8,30529.1,DAP,3.3,106.2,1.75,43.0,2.3,No,No,Vegetative,82.8,52.1,Add fertilizer,5.43
IMG_000004,2021-11-23,G019,P000004,Wheat,West,Loamy,26.19,18.6,51.8,30870.1,DAP,5.3,51.6,1.04,65.3,2.5,Yes,Yes,Flowering,59.9,72.2,Add fertilizer,4.4
IMG_000005,2021-10-18,G009,P000005,Soybean,West,Clay,22.7,27.9,75.9,33996.9,Compost,4.8,46.2,1.31,83.0,2.6,No,Yes,Fruiting,79.0,39.6,No action,4.14
IMG_000006,2021-02-07,G003,P000006,Maize,Central,Loamy,33.54,20.9,68.3,28088.5,NPK,11.6,129.3,1.21,97.5,2.9,Yes,Yes,Vegetative,49.5,94.6,Weed control,8.14
IMG_000007,2021-01-01,G015,P000007,Rice,South,Loamy,19.0,23.1,46.2,20574.9,DAP,5.4,71.9,1.04,70.0,2.6,No,No,Germination,86.1,76.8,Apply pesticide,3.73
IMG_000008,2021-10-09,G019,P000008,Soybean,South,Clay,19.08,26.7,40.6,21991.0,Urea,7.1,68.5,2.79,67.4,3.2,No,No,Vegetative,66.1,45.7,Add fertilizer,5.51
IMG_000009,2021-11-17,G020,P000009,Soybean,West,Loamy,20.51,27.9,54.8,31562.9,NPK,9.3,111.1,1.91,79.7,4.7,Yes,No,Germination,68.4,58.6,Weed control,5.69
IMG_000010,2021-12-22,G019,P000010,Wheat,North,Loamy,31.44,24.2,50.3,29311.0,NPK,6.3,59.5,1.51,64.8,4.4,No,No,Flowering,81.7,65.4,No action,7.33
IMG_000011,2021-02-28,G006,P000011,Rice,Central,Clay,17.81,26.8,54.9,33172.0,Urea,4.8,84.1,1.26,45.3,2.5,No,No,Vegetative,81.8,70.1,No action,3.17
IMG_000012,2021-10-26,G017,P000012,Maize,North,Clay,23.64,18.4,64.7,39572.8,NPK,10.3,129.4,2.08,86.7,2.6,No,No,Vegetative,78.7,62.2,No action,6.14
