                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4086,                 1.4651,                0.96384,                0.40408,                0.29986,                0.29381,                0.17195,                 1.3064,                 1.0608,                0.91267,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.3991,                 1.1005,                0.93218,                0.43833,                0.32342,                0.31563,                0.18371,                 1.3438,                 1.0532,                0.91182,              0.0066365,              0.0066365,              0.0066365
                      3,                  1.457,                 1.1298,                 0.9426,                0.41668,                0.31811,                0.30551,                0.17553,                 1.3739,                 1.1008,                0.91983,              0.0099258,              0.0099258,              0.0099258
                      4,                 1.4649,                 1.1162,                0.94882,                0.40033,                0.31443,                0.30358,                0.17435,                 1.3764,                 1.0839,                0.92673,               0.009901,               0.009901,               0.009901
                      5,                 1.4332,                  1.087,                0.94186,                0.44152,                0.31812,                0.32528,                0.18889,                 1.3372,                 1.0243,                 0.9164,               0.009868,               0.009868,               0.009868
                      6,                 1.4033,                 1.0418,                0.93266,                0.42779,                0.32722,                0.32858,                0.19248,                  1.339,                 1.0163,                0.92017,               0.009835,               0.009835,               0.009835
                      7,                 1.3697,                 1.0146,                0.92996,                0.46137,                0.34296,                0.34559,                0.20227,                 1.2993,                0.99518,                0.91253,               0.009802,               0.009802,               0.009802
                      8,                 1.3549,                0.99718,                0.92171,                0.45728,                0.35936,                0.35791,                0.21191,                 1.2754,                0.97049,                0.90619,               0.009769,               0.009769,               0.009769
                      9,                 1.3364,                0.97675,                0.92029,                0.45936,                0.36113,                0.36179,                0.21497,                  1.276,                 0.9621,                 0.9057,               0.009736,               0.009736,               0.009736
                     10,                 1.3273,                0.95852,                0.91884,                0.49381,                0.35113,                0.36448,                0.21764,                 1.2617,                0.96472,                0.90576,               0.009703,               0.009703,               0.009703
